FCSUBTYPE,FCSUBTYPE_desc,STYLE_NAME,FULL_NAME,DATEFEATURECREATED,DATEFEATUREMODIFIED,ACCESSLEVEL,METADATAID,FEATURETEXT,NAMEID,GLOBALID,BUILDINGTYPE,BUILDINGTYPE_desc,HEIGHT,CAPTUREMETHOD,CAPTUREMETHOD_desc,DATASOURCE,DATASOURCE_desc,PLANACCURACY,SPATIALRELIABILITYDATE,ATTRIBUTERELIABILITYDATE,TARGETDISPLAYSCALE,TARGETDISPLAYSCALE_desc,DATACUSTODIAN,DATACUSTODIAN_desc,gx_id
-98,,BuildingPolygon,,16/02/2007,24/09/2012,0,100867,,-98,{E8B6EF78-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,16/01/2011,16/01/2011,25000,1:25000,3,LANDGATE,147
-98,,BuildingPolygon,,16/02/2007,06/08/2012,0,101312,,-98,{E9B2EEA4-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,01/03/2012,01/03/2012,50000,1:50000,3,LANDGATE,1470
-98,,BuildingPolygon,,16/02/2007,15/08/2008,0,100107,,-98,{E9B301D2-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,11/01/2008,11/01/2008,20000,1:20000,3,LANDGATE,1471
-98,,BuildingPolygon,,16/02/2007,06/01/2009,0,100107,,-98,{E9B30C40-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,11/01/2008,11/01/2008,20000,1:20000,3,LANDGATE,1472
-98,,BuildingPolygon,,16/02/2007,,0,459,,-98,{E9B31438-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,1,DirectPhotogrammetricCapture,3,1:25000TopographicSeriesByLANDGATE,6.7,16/09/1987,16/09/1987,25000,1:25000,3,LANDGATE,1473
-98,,BuildingPolygon,,16/02/2007,,0,459,,-98,{E9B31E88-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,1,DirectPhotogrammetricCapture,3,1:25000TopographicSeriesByLANDGATE,6.7,16/09/1987,16/09/1987,25000,1:25000,3,LANDGATE,1474
-98,,BuildingPolygon,,16/02/2007,19/09/2013,0,101491,,-98,{E9B3321A-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,02/01/2013,02/01/2013,20000,1:20000,3,LANDGATE,1475
-98,,BuildingPolygon,,16/02/2007,,0,461,,-98,{E9B339F4-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,1,DirectPhotogrammetricCapture,3,1:25000TopographicSeriesByLANDGATE,6.7,23/02/1992,23/02/1992,25000,1:25000,3,LANDGATE,1476
-98,,BuildingPolygon,,16/02/2007,15/03/2013,0,101375,,-98,{E9B374AA-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,29/02/2012,29/02/2012,50000,1:50000,3,LANDGATE,1477
-98,,BuildingPolygon,,16/02/2007,15/03/2013,0,101375,,-98,{E9B38008-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,29/02/2012,29/02/2012,50000,1:50000,3,LANDGATE,1478
