Lat,Lon,Elev.(meters)
-32.02,115.84,15.000
-32.95,116.66,297.000
-33.97,115.08,98.000
-33.58,116.46,242.000
-32.53,115.7,15.000
-31.21,116.52,292.000
-31.54,115.2,-32768.000
-31.06,115.62,77.000
-32.29,116.32,271.000
-31.18,116.02,173.000
-32.32,116.24,385.000
-32.8,115.18,-32768.000
-31.66,116.12,91.000
-32.83,115.18,-32768.000
-31.81,116.44,334.000
-33.58,116.88,270.000
-31.72,115.78,22.000
-32.71,115.98,206.000
-33.37,116.56,320.000
-33.64,116.14,280.000
-33.04,116.4,290.000
-31.6,115.1,-32768.000
-32.89,115.28,-32768.000
-31.57,116.56,213.000
-33.16,116.88,320.000
-32.35,116.5,312.000
-31.48,116.7,188.000
-32.8,116.9,304.000
-33.91,116.24,290.000
-32.98,116.6,316.000
-31.81,116.54,275.000
-33.55,115.96,178.000
-31.09,115.98,176.000
-33.22,116.16,298.000
-33.55,115.34,-32768.000
-31.36,115.78,60.000
-32.68,115.96,92.000
-32.11,116.36,251.000
-32.62,116.62,304.000
-31.78,115.86,50.000
-33.49,116.48,294.000
-32.23,115.58,-32768.000
-33.31,115.02,-32768.000
-32.11,117,290.000
-31.63,115.54,-32768.000
-33.91,116.94,322.000
-32.68,116.04,323.000
-34,115.38,120.000
-31.66,115.82,46.000
-32.23,115.54,-32768.000
-32.02,116.88,261.000
-32.77,115.92,38.000
-33.58,115.18,-32768.000
-31.27,115.06,-32768.000
-32.59,116.2,307.000
-32.98,116.28,280.000
-31.21,116.28,344.000
-32.02,116.86,246.000
-31.24,115.32,-32768.000
-32.71,115.56,-32768.000
-33.25,116.42,264.000
-33.34,115.94,269.000
-31.99,116.4,292.000
-33.7,115.46,30.000
-32.5,115.88,20.000
-32.89,116.4,253.000
-33.55,115.3,-32768.000
-33.25,116.58,335.000
-31.51,115.6,9.000
-31.3,115.3,-32768.000
-31.6,115.58,-32768.000
-31.18,115.46,61.000
-33.55,116.46,271.000
-31.33,116.18,284.000
-31.36,115.12,-32768.000
-31.66,115.64,-32768.000
-31.6,115.26,-32768.000
-31.51,117,249.000
-33.34,115.92,159.000
-31.27,116.88,297.000
-32.11,116.44,334.000
-31.36,115.56,27.000
-33.82,116.58,264.000
-33.76,115.24,42.000
-33.16,116.8,260.000
-33.43,116.96,276.000
-33.37,115.14,-32768.000
-31.6,115.24,-32768.000
-31.84,115.72,-32768.000
-32.71,116.38,323.000
-34,116.2,188.000
-31.81,115.4,-32768.000
-33.4,116.6,305.000
-33.22,116.1,299.000
-32.53,115.84,14.000
-33.58,115.32,-32768.000
-32.68,115.22,-32768.000
-31.3,115.04,-32768.000
-33.58,116.02,311.000
-32.8,116.98,329.000
-31.12,115.84,160.000
-32.5,116.18,237.000
-31.84,115.32,-32768.000
-32.41,115.58,-32768.000
-31.06,115.88,153.000
-33.91,116.94,322.000
-33.52,116.96,247.000
-31.66,116.54,300.000
-33.04,115.74,10.000
-31.63,115.06,-32768.000
-33.43,116.62,306.000
-31.24,116.88,328.000
-31.12,116.28,326.000
-33.58,116.64,266.000
-31.6,115.2,-32768.000
-32.41,116.1,264.000
-33.61,116.52,241.000
-31.21,115.04,-32768.000
-33.07,116.7,284.000
-33.13,115.9,143.000
-32.74,115.58,-32768.000
-33.19,115.64,-32768.000
-33.73,116.16,277.000
-31.12,115.08,-32768.000
-33.76,115.82,191.000
-33.37,116.48,337.000
-31.96,115.56,-32768.000
-31.24,115.24,-32768.000
-31.15,116.28,343.000
-31.78,115.12,-32768.000
-32.17,116.48,322.000
-32.53,115.52,-32768.000
-33.13,116.48,313.000
-32.23,115.82,36.000
-31.39,116.22,290.000
-31.3,116.78,223.000
-33.37,115.56,-32768.000
-31.39,115.34,-32768.000
-33.34,115.6,-32768.000
-31.87,116.64,368.000
-32.32,115.6,-32768.000
-32.26,116.84,274.000
-33.88,115.48,179.000
-31.36,116,173.000
-32.29,116.98,241.000
-31.81,116.24,224.000
-31.33,115.34,-32768.000
-31.24,115.44,36.000
-32.08,115.34,-32768.000
-31.66,116.02,37.000
-32.83,116.02,291.000
-31.63,116.36,297.000
-31.45,116.2,307.000
-31.3,116.32,367.000
-32.56,115.12,-32768.000
-32.92,116.22,338.000
-32.44,115.08,-32768.000
-33.16,116.9,354.000
-32.65,116.14,297.000
-32.32,115.32,-32768.000
-31.66,115.02,-32768.000
-33.43,115.56,-32768.000
-32.47,116.32,349.000
-31.48,115.2,-32768.000
-32.14,115.28,-32768.000
-32.05,116.22,338.000
-33.13,115,-32768.000
-32.17,115.88,35.000
-33.73,115.26,28.000
-33.43,116.02,176.000
-33.67,116.16,285.000
-32.11,116.12,270.000
-32.47,116.28,321.000
-33.4,116.84,235.000
-33.79,116.92,264.000
-31.06,116.54,282.000
-33.85,116.72,275.000
-32.44,115.32,-32768.000
-33.19,116.12,273.000
-31.9,115.7,-32768.000
-31.09,116.78,256.000
-31.3,115.68,52.000
-31.63,115.5,-32768.000
-32.83,116,287.000
-33.97,116.78,309.000
-32.62,116.16,315.000
-33.58,115.24,-32768.000
-31.69,115.16,-32768.000
-31,116.32,260.000
-32.14,116.94,206.000
-31.78,115.14,-32768.000
-31.21,116.18,293.000
-31.72,116.58,184.000
-32.98,115.88,25.000
-31.6,115.06,-32768.000
-31.24,115.08,-32768.000
-32.83,116.52,257.000
-33.97,116.64,247.000
-33.04,115.34,-32768.000
-33.85,115.8,183.000
-31.03,115.66,79.000
-32.62,116.04,269.000
-32.2,115.24,-32768.000
-31.63,115.44,-32768.000
-33.43,116.2,213.000
-31.99,115.8,19.000
-31.03,116.86,333.000
-31.84,116.2,298.000
-33.88,116.5,260.000
-31.66,115.1,-32768.000
-33.7,116.68,214.000
-32.2,116.4,283.000
-32.47,115.98,65.000
-32.02,116.22,298.000
-34,116.68,280.000
-33.52,116.44,253.000
-33.31,117,261.000
-33.64,116.26,261.000
-31.45,116.68,216.000
-32.71,116.82,267.000
-33.1,115.08,-32768.000
-31.09,115.2,-32768.000
-31.9,115.56,-32768.000
-33.91,116.38,205.000
-31.75,116.48,295.000
-32.26,116.62,254.000
-32.5,116.7,329.000
-33.01,115.34,-32768.000
-31.66,115.02,-32768.000
-31.42,117,263.000
-31.84,116.58,341.000
-31.66,115.04,-32768.000
-32.05,116.9,299.000
-31.63,116.82,213.000
-31.57,116,57.000
-32.38,115.44,-32768.000
-33.04,115.2,-32768.000
-32.83,116.02,291.000
-33.43,115.04,-32768.000
-31.69,115.84,73.000
-33.34,116.88,279.000
-31.63,115.68,28.000
-32.47,116.46,341.000
-31.75,115.24,-32768.000
-33.67,115.58,53.000
-33.76,116.2,269.000
-32.14,116.68,257.000
-31.63,116.74,201.000
-31.69,115.52,-32768.000
-31.69,116.14,258.000
-31.63,116.14,229.000
-31.99,115.6,-32768.000
-31.57,115.22,-32768.000
-33.61,115.1,17.000
-32.56,115,-32768.000
-31.18,116.8,263.000
-33.28,116.4,288.000
-32.71,116.44,326.000
-31.48,116.5,223.000
-33.88,115.36,142.000
-31.66,116.92,243.000
-31.6,115.24,-32768.000
-31.03,115.78,168.000
-32.02,116.16,343.000
-33.55,116.52,262.000
-33.04,115.84,27.000
-31.81,116.88,253.000
-33.85,117,272.000
-33.85,116.06,323.000
